spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
5s457o0GLooprDJNitW5WF,12/10/2024 2:04,android,2179,Mr. Brightside - Live From The Royal Albert Hall / 2009,The Killers,Live From The Royal Albert Hall,fwdbtn,fwdbtn,TRUE,TRUE
5Z3Rd1fMcaty8g5Pn7yhBQ,12/10/2024 2:04,android,1391,The Continuing Story Of Bungalow Bill - Remastered 2009,The Beatles,The Beatles,fwdbtn,fwdbtn,TRUE,TRUE
1RIhd7jjWDQwSKsbxxGArN,12/10/2024 2:04,android,2312,Ojos Color Sol (feat. Silvio Rodr°guez),Calle 13,MultiViral,fwdbtn,fwdbtn,TRUE,TRUE
4MmiBCpdYhJvVU5EjNEnst,12/10/2024 2:04,android,3684,The River,Liam Gallagher,Why Me? Why Not.,fwdbtn,fwdbtn,TRUE,TRUE
6UpqYTSz30LQREVtYeVQLR,12/10/2024 2:07,android,177493,Burn the Damn Thing Down,The Black Keys,Dropout Boogie,fwdbtn,trackdone,TRUE,FALSE
1dJfLFVyvODCdX9sRHhTMN,12/10/2024 2:09,android,147125,American Bohemian - Gatlinburg Demo,Houndmouth,California Voodoo,trackdone,trackdone,TRUE,FALSE
2d6m2F4I7wCuAKtSsdhh83,12/10/2024 2:09,android,3571,Famous Last Words,My Chemical Romance,The Black Parade,trackdone,fwdbtn,TRUE,TRUE
5SiCTf5r1cVjQXAXB2StpS,12/10/2024 2:09,android,1892,Torn And Frayed,The Rolling Stones,Exile On Main Street,fwdbtn,fwdbtn,TRUE,TRUE
6bIPHR8AJG5HAcn9oF21Ma,12/10/2024 2:09,android,1553,Marooned,Pink Floyd,The Division Bell,fwdbtn,fwdbtn,TRUE,TRUE
5IXk9TVBuxG87sFrwclBJw,12/10/2024 2:09,android,1275,Music To My Eyes,Lady Gaga,A Star Is Born Soundtrack,fwdbtn,fwdbtn,TRUE,TRUE
0sNKiz82ATCvT3f3XVVUUj,12/10/2024 2:09,android,2764,Why Don't You Get A Job,The Offspring,Americana,fwdbtn,fwdbtn,TRUE,TRUE
2ue1KRstSKHF8jQkIJZiNC,12/10/2024 2:09,android,1104,It's Only Love - Remastered 2009,The Beatles,Help!,fwdbtn,fwdbtn,TRUE,TRUE
64MISVB9IIchhOKmWHftoz,12/10/2024 2:09,android,1316,You're Gonna Make Me Lonesome When You Go,Bob Dylan,Blood On The Tracks,fwdbtn,fwdbtn,TRUE,TRUE
65PE3GVXjkiQOTM7V7NbfY,12/10/2024 2:09,android,1060,The Only One,The Black Keys,Brothers,fwdbtn,fwdbtn,TRUE,TRUE
1Ud7FWi7UXYXzDsOnkQYMU,12/10/2024 2:09,android,1145,Winds of Change,Vance Joy,Dream Your Life Away,fwdbtn,fwdbtn,TRUE,TRUE
0mynYmSfl8q2KhjSp96G3w,12/10/2024 2:09,android,1497,Stray Cat Blues - 50th Anniversary Edition,The Rolling Stones,Beggars Banquet,fwdbtn,fwdbtn,TRUE,TRUE
4yVixayMpxm2MUGOePA192,12/10/2024 2:10,android,2791,Modern Girls and Old Fashion Men,The Strokes,Modern Girls & Old Fashion Men,fwdbtn,fwdbtn,TRUE,TRUE
3VbGCXWRiouAq8VyMYN2MI,12/10/2024 2:10,android,1370,Love Me Do - Remastered 2009,The Beatles,Please Please Me,fwdbtn,fwdbtn,TRUE,TRUE
